<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
ROSN,D,20140520,000000,229.4000000,231.7700000,224.6600000,229.8000000
ROSN,D,20140521,000000,229.8800000,232.3000000,228.7700000,230.5600000
ROSN,D,20140522,000000,231.2000000,231.8900000,228.5000000,230.0100000
ROSN,D,20140523,000000,231.0100000,233.1000000,230.2500000,232.9000000
ROSN,D,20140526,000000,233.6800000,235.8000000,233.2100000,233.7400000
ROSN,D,20140527,000000,234.0000000,234.0700000,228.2900000,229.0000000
ROSN,D,20140528,000000,229.2000000,230.0000000,227.5000000,229.1300000
ROSN,D,20140529,000000,229.8000000,232.6000000,229.6000000,229.8100000
ROSN,D,20140530,000000,229.8800000,231.1100000,226.0000000,226.0000000
ROSN,D,20140602,000000,227.8000000,231.9800000,227.8000000,230.0000000
ROSN,D,20140603,000000,229.5000000,231.5000000,228.2400000,231.3000000
ROSN,D,20140604,000000,230.9000000,231.6500000,229.6100000,230.2500000
ROSN,D,20140605,000000,230.6000000,231.2900000,228.8500000,229.5000000
ROSN,D,20140606,000000,230.3200000,237.7000000,230.1400000,237.0000000
ROSN,D,20140609,000000,238.1800000,241.7900000,237.0200000,240.3600000
ROSN,D,20140610,000000,240.6000000,243.4300000,239.6500000,242.8000000
ROSN,D,20140611,000000,242.4500000,249.6600000,242.1200000,249.6600000
ROSN,D,20140616,000000,249.0700000,254.8700000,245.6700000,253.3000000
ROSN,D,20140617,000000,253.2900000,257.3000000,250.1000000,251.5900000
